id,uuid,img_url,thumbnail
01362,sm4b79f0b31797f4ee0acf9f1805a1fd002,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_980,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_980/full/250,/0/default.jpg"
01363,sm4048a9f12679b4698aa22b6e53b2d0efe,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_98,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_98/full/250,/0/default.jpg"
01364,sm4e07c406bfff84e46b91c7a229ff10e19,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_979,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_979/full/250,/0/default.jpg"
01365,sm4533df59178ea41948ad3020d70837fb7,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_978,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_978/full/250,/0/default.jpg"
01366,sm4e6e40fdae5f5482a9a71977b1e35c68e,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_977,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_977/full/250,/0/default.jpg"
01367,sm43d6e5b086b0a4f0e9046a5cc77d24add,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_976,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_976/full/250,/0/default.jpg"
01368,sm43b7d8f0756b440559405a193ae6a5502,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_975,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_975/full/250,/0/default.jpg"
01369,sm43db9904f84ec4fdc833b549442d3ac1e,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_974,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_974/full/250,/0/default.jpg"
01370,sm4a626d9a9267e4414ba813e575976c9a2,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_973,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_973/full/250,/0/default.jpg"
01371,sm45ae524607c4e4c3c9e693410e386a1cb,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_972,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_972/full/250,/0/default.jpg"
01372,sm406f1970a99eb42c3978f34764db2b268,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_971,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_971/full/250,/0/default.jpg"
01373,sm43f637c55004f44928967db5d0bafbb04,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_970,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_970/full/250,/0/default.jpg"
01375,sm4c3ed650c17654c9e8e2bc37883e65bb3,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_969,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_969/full/250,/0/default.jpg"
01376,sm49d7c60bd1648451b8738e865b2b48fcf,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_968,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_968/full/250,/0/default.jpg"
01377,sm42aa1bc5df326463e856ed1eb3b4b8771,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_967,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_967/full/250,/0/default.jpg"
01378,sm4851fda5ba721454187f7853775e3af63,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_966,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_966/full/250,/0/default.jpg"
01379,sm42ef5c76398744edda364ffd9d8bff96e,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_965,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_965/full/250,/0/default.jpg"
01380,sm41dcd1f73fb2148d2ad0b52404f2122e1,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_964,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_964/full/250,/0/default.jpg"
01381,sm4f9a8fb3361df467f86a597529880bc94,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_963,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_963/full/250,/0/default.jpg"
01382,sm4273656311f0e424baf96a02d9ade7ab9,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_962,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_962/full/250,/0/default.jpg"
01383,sm48d9ff05a1437443e9df04c53bea9fc04,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_961,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_961/full/250,/0/default.jpg"
01384,sm4d1c19c60a5444ba684eada2e97b04989,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_960,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_960/full/250,/0/default.jpg"
01385,sm4419dc7d16b80443eae6d41e1e19ecbbc,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_96,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_96/full/250,/0/default.jpg"
01386,sm4011501032211420a9738ace6393d49f4,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_959,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_959/full/250,/0/default.jpg"
01387,sm409bb709af6924577b26643107c8c0318,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_958,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_958/full/250,/0/default.jpg"
01388,sm4b878bd54b700466e8c537351f7978715,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_957,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_957/full/250,/0/default.jpg"
01389,sm4259bd57cb28e4e3a8793430d72b9426f,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_956,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_956/full/250,/0/default.jpg"
01390,sm44a4f83386d5b4c0280dc3a68c7ab7260,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_955,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_955/full/250,/0/default.jpg"
01391,sm4ac5fe13639fe4fd9996f02a7bb0d7645,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_954,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_954/full/250,/0/default.jpg"
01392,sm484a685b7b22c4d51a281db47a02a9328,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_953,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_953/full/250,/0/default.jpg"
01393,sm477acaaa54a754d05ad3009d75495d9e1,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_952,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_952/full/250,/0/default.jpg"
01394,sm4cb21a51a72ab42f5996ec82da755e32a,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_951,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_951/full/250,/0/default.jpg"
01395,sm4c691642e52dd433fbfd4a562a78a7154,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_950,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_950/full/250,/0/default.jpg"
01396,sm4174ecb0dd45b4bf193eee6a6790660d6,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_95,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_95/full/250,/0/default.jpg"
01397,sm40de26c27e58b487d8f62a3267e0b4699,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_949,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_949/full/250,/0/default.jpg"
01398,sm4f084ef487826431988e0f1edd32da445,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_948,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_948/full/250,/0/default.jpg"
01399,sm4bade9cb0f90240aba1c56da7f2b21444,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_947,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_947/full/250,/0/default.jpg"
01400,sm4719e5a1ad02e417e80a8931bf76f1f99,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_946,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_946/full/250,/0/default.jpg"
01401,sm410a463024f1c4b279abdf45129722f11,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_945,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_945/full/250,/0/default.jpg"
01402,sm484c8fc0a9efe4de0996bca8591611b9a,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_944,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_944/full/250,/0/default.jpg"
01403,sm4a83da858c8d84479af035808697bb3ac,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_943,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_943/full/250,/0/default.jpg"
01404,sm4c8e8a9a82f1645a6ab70d179f2803f50,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_942,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_942/full/250,/0/default.jpg"
01405,sm4f6b9f3fdeeab4c9aaffa61ee69beefde,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_941,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_941/full/250,/0/default.jpg"
01406,sm4e56f0df6fd4048c78f26f67969426852,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_940,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_940/full/250,/0/default.jpg"
01407,sm4203593d1c4bd42d594c6678f36f1af8f,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_94,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_94/full/250,/0/default.jpg"
01408,sm47c4b19a60c63468b95c53968d83fe1cc,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_939,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_939/full/250,/0/default.jpg"
01409,sm4cb12ba2ad0f94a509f8d8d4d62ddb206,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_938,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_938/full/250,/0/default.jpg"
01410,sm44dd7cc3cd8474ddb92657b7530ff0694,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_937,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_937/full/250,/0/default.jpg"
01411,sm43bdff40cca704647b443545dd5cc9eb8,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_936,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_936/full/250,/0/default.jpg"
01412,sm44ba2b83c60304614bffb5f567148ed03,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_935,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_935/full/250,/0/default.jpg"
01413,sm49bdc3c9927be470ca2295fb6303692c9,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_934,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_934/full/250,/0/default.jpg"
01414,sm47555b5c5b4354916b17e5cb326021ad4,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_933,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_933/full/250,/0/default.jpg"
01415,sm460b5647c0863452ba1fea8cfd1d6a8e9,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_932,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_932/full/250,/0/default.jpg"
01416,sm4f854f31e5c234f02a878a6e4ea0cf537,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_931,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_931/full/250,/0/default.jpg"
01417,sm4ab2335500ba8433c8ca0cfb299378052,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_930,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_930/full/250,/0/default.jpg"
01418,sm4d7bf470e09444d8faacc25b4760bbd99,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_93,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_93/full/250,/0/default.jpg"
01419,sm4bb417db55f6e41859c5f6cf795c62729,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_929,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_929/full/250,/0/default.jpg"
01420,sm46eb2ff946e804e1f8f24c815782a4268,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_928,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_928/full/250,/0/default.jpg"
01421,sm48199e33f0b9f412690df8ca340a740e4,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_927,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_927/full/250,/0/default.jpg"
01422,sm44e0c7a134e64468e8f11e28667cf1853,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_926,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_926/full/250,/0/default.jpg"
01423,sm4d10b8f28ca2c4162a0d76b4447b2b4f8,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_925,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_925/full/250,/0/default.jpg"
01424,sm43b63b3ef1b734c068f002e5af930b822,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_924,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_924/full/250,/0/default.jpg"
01425,sm458b8e00bd4ae454ea700cbad4aa2f238,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_923,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_923/full/250,/0/default.jpg"
01426,sm40b98ab5c65bc4127ba8335980f5cf6e3,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_922,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_922/full/250,/0/default.jpg"
