font,char,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40
ibmserif,s,-2.776249,2.17719,-0.524137,2.008122,-1.120293,0.524778,-0.381343,1.63554,0.078026,-2.126456,-0.384497,2.107274,1.81115,-0.684785,1.318709,0.304833,1.48683,2.709949,0.687037,0.80277,-1.50815,-0.74949,-1.499342,0.929442,-0.583112,-0.702064,-2.299604,-2.268721,-2.456239,-0.552328,0.679056,-0.513221,-1.081655,-1.927949,-1.381261,-0.320269,0.240025,-0.105038,-1.125427,0.505468,0.0
ibmserif,t,4.806604,3.480305,-0.451364,-2.377707,-0.432168,1.176116,-1.075583,-0.688972,-0.743778,-3.464569,1.559155,-0.626545,0.347803,-1.354848,-0.569353,-0.251468,-2.25191,0.79686,-0.494963,0.519116,0.862551,-0.948889,2.118747,0.176002,-1.031726,0.373049,1.706321,2.492669,-0.343431,-0.82828,-0.057874,0.788002,1.391833,-1.723931,-2.566442,0.883106,-1.286653,-1.238241,-0.112755,0.960148,0.0
ibmserif,u,-3.178284,0.678274,-1.988205,-0.49594,0.105149,0.266307,1.250311,-0.94464,-0.70509,0.247044,0.455395,-0.341869,-1.020511,0.913532,1.387414,1.267707,0.59024,-0.385161,0.504778,-0.819159,1.378865,0.643042,0.530284,-0.015075,0.642264,0.360519,2.699835,-0.512397,0.698603,-2.089894,-0.266969,0.661811,-0.834793,-0.251472,-1.208607,-0.29958,1.281643,0.052109,0.767322,0.898157,-0.0
ibmserif,v,-4.992876,-0.732367,-0.062604,1.098139,2.464566,-0.365977,0.095667,0.165709,-0.301951,-0.405301,0.184734,1.290188,0.326284,0.106323,0.849375,1.118315,-0.426719,-1.196986,-1.047818,2.239616,-2.387797,-0.261687,-0.564524,-0.832232,1.069892,-1.346384,2.418479,-1.002984,1.766184,-1.012217,0.286306,0.25843,-1.637174,0.711786,0.519644,0.824621,-1.381825,-0.161569,-1.982108,0.696841,-0.0
ibmserif,w,1.917545,1.448628,0.024028,2.014987,-2.355407,-1.724098,-2.882885,1.132282,-0.894356,-0.737618,-0.989508,-2.591493,-2.03501,-1.106153,-1.028195,0.129628,-2.162043,-0.815779,1.379084,0.727666,1.629241,-0.307564,-2.100088,-1.179771,-1.182502,-0.443563,-1.229998,1.937465,-0.4335,2.491199,-0.204698,2.464781,3.295278,0.656281,0.509073,0.428772,-0.909127,-1.940139,-0.349487,0.972911,0.0
ibmserif,x,5.468696,0.158326,-1.9456,-0.041585,0.002817,-1.36494,0.822208,-1.317281,0.581324,-3.551082,0.163546,0.357593,-0.53512,2.71819,-4.271375,2.04915,1.50638,-0.215168,-1.730959,0.650496,-0.528411,0.288936,0.129336,-0.078242,-0.054435,0.076758,0.012601,0.029538,0.005504,-0.00415,-0.014658,0.002945,0.002873,-0.001253,0.003361,0.000218,0.000214,0.000559,0.000829,-0.000915,0.0
ibmserif,y,2.846663,-0.236106,-0.348111,-0.676378,-3.332775,0.855866,-0.542194,-1.129688,0.436615,-0.037287,-0.435613,-0.336056,-0.728642,0.003896,0.569599,-1.649233,2.026431,0.994839,1.477985,0.762441,1.037411,-3.888586,1.588653,1.423788,-0.587898,-1.33949,0.578164,0.919924,0.252843,0.999963,1.458474,-0.21217,-0.846879,1.518406,0.827588,-1.453049,0.461325,1.828073,-0.794862,2.998498,0.0
ibmserif,z,-4.921913,-1.072687,2.065736,1.06503,1.650088,-0.770107,-1.961982,0.340961,0.472556,-2.25193,-0.249881,-0.21632,0.024053,1.156478,1.405837,-1.075024,-0.31352,-1.202321,-0.169056,1.273062,0.192847,-0.664784,-1.42288,-1.360282,-0.394562,0.761022,-0.466158,2.112011,1.575238,2.037628,-0.061231,0.376288,0.730156,-1.242934,-0.554136,-1.936148,-0.864928,0.483321,-0.466185,0.666387,-0.0
inconsolata,0,-7.927362,2.13843,-6.001238,-2.4298,1.9783,1.087105,0.590164,-0.034051,0.316024,-0.06476,0.010838,0.157703,0.282882,0.058977,0.166803,0.034683,0.213169,-0.034481,0.099459,0.129848,-0.120713,0.021701,-0.136413,-0.031606,-0.031422,-0.111447,0.159265,-0.181336,0.054097,-0.036481,0.024467,0.000375,0.00796,-0.057914,0.060981,0.047538,-0.066336,-0.071132,-0.040754,-0.093045,-0.0
inconsolata,1,-3.026125,-3.908101,3.699095,-3.443073,-2.124766,-0.487431,-0.11809,0.258211,-0.728911,0.154235,-0.597994,-0.536765,0.511375,-1.84966,0.714832,0.046788,0.678356,-0.94465,0.505223,1.586473,-0.863539,0.728843,0.906198,-1.068143,0.502104,-0.785736,0.475809,0.663597,-0.104894,0.562243,1.012559,0.744887,2.686369,-1.226942,1.167831,-1.663011,1.03025,-0.042941,0.405321,0.301896,-0.0
inconsolata,2,-0.445348,2.222127,-1.175528,0.935797,1.500758,3.455532,-0.711654,0.019036,0.458652,-1.201728,1.902327,-0.416065,-1.456257,-2.659366,-0.921159,-1.519319,0.739574,2.880701,1.322721,0.822651,-0.438758,-1.0302,2.135471,-0.199004,0.605943,1.124439,0.693573,0.351073,-0.228244,1.181572,-2.151888,-1.106226,-0.086282,-0.221534,0.084629,1.318903,0.42718,-1.058729,1.286708,1.561223,-0.0
inconsolata,3,-1.829086,-2.164884,-2.352816,3.142748,-0.194409,0.062671,-0.224133,0.910944,1.90713,-2.095317,-1.847248,2.014677,0.114018,0.052127,-0.518177,0.933272,-2.514006,0.190169,0.075051,-1.995669,-0.786754,0.853903,0.919564,-0.635452,1.518513,0.204204,0.230394,0.572237,0.167702,0.859024,0.680419,-2.104166,1.162803,0.121201,0.026145,-1.329188,-1.338048,2.097347,-1.776363,-1.845529,0.0
inconsolata,4,-0.422013,2.76232,-1.43321,0.010274,0.25685,-0.3495,2.385692,-0.508576,-0.2196,1.449896,3.083318,-1.163794,-0.413885,0.83616,1.641897,1.000856,2.176936,-1.655759,2.114716,-3.261191,-0.333029,-0.316369,1.520123,2.17426,1.608479,-2.707973,-0.489793,0.296246,0.684849,1.94652,2.69909,0.222573,-0.173414,0.178534,-0.021903,-0.003248,0.615747,0.354529,-0.000866,-0.67509,0.0
inconsolata,5,1.063797,0.827944,1.172799,-3.103566,-1.015941,-1.638057,-0.776567,1.56682,0.897924,0.503863,1.227184,-0.31976,2.631315,2.894089,-1.524276,-0.255946,0.22025,-0.178359,1.976964,-0.246842,0.734648,1.039679,-0.90823,0.257925,-0.183243,-0.02394,-1.439286,1.939868,0.012749,-0.667764,-0.501289,0.040509,-1.255163,-0.483229,-1.249188,0.546752,-2.374629,-0.340062,-1.885523,0.154264,-0.0
inconsolata,6,-2.082919,1.590859,-2.554854,0.826894,-1.481336,-1.466551,-0.15892,-2.275279,2.836751,-1.323359,1.415046,2.951358,1.312588,-0.28031,0.724157,0.888967,1.415949,0.049071,-0.009114,-0.716985,0.603828,0.810514,-0.031175,-2.028408,-0.352647,-0.864627,-0.860441,-2.522647,0.350739,-0.454132,-1.350618,0.270782,0.008248,0.191233,0.336234,-0.945885,-1.816393,-1.829382,0.417189,-0.770637,-0.0
inconsolata,7,-2.650041,0.253,1.324639,1.682917,3.1637,-0.676614,-1.59343,-1.891746,2.697334,-1.073297,2.991025,1.72658,-1.101506,1.934651,1.991673,3.207013,-0.77388,0.714875,-1.456507,0.768981,-0.717359,-1.143327,-1.028616,1.466754,-0.023943,0.552352,-0.166112,0.33029,1.181898,0.771558,-0.033457,-0.425691,-0.939381,-0.231049,1.306139,0.636483,-0.088719,0.166788,0.264534,-0.157553,-0.0
inconsolata,8,-1.358657,1.233121,-2.932139,-3.401767,-1.856913,-0.069039,-0.117728,-1.314264,-0.64355,2.384637,0.094305,-0.073067,0.851219,0.8353,0.619249,0.731364,0.642557,-2.059526,0.588698,0.200177,-0.529087,-0.755817,-0.394788,-1.632381,-0.290399,2.017683,-0.690756,2.02755,-0.194275,-0.822803,0.569391,-0.676618,1.857063,-0.914197,0.210916,-0.970377,-0.321081,-1.538642,-2.559958,1.242953,-0.0
inconsolata,9,1.767462,-2.531441,0.823258,1.298343,1.180938,-0.627515,2.516666,1.63656,-3.186263,0.20394,-0.673158,-0.825767,0.544901,1.402235,-0.826682,3.30332,-0.381484,-0.251709,-1.047957,-0.23912,0.756639,1.44876,1.735148,0.532985,-0.742128,1.795345,0.244288,2.466811,-0.916921,0.691678,-0.608889,0.165259,0.541495,-2.190626,-0.137367,-0.589092,-0.326621,-1.253111,0.052411,0.602308,-0.0
inconsolata,A,-4.79185,2.993876,2.724778,2.05845,-2.439078,1.969819,-3.157456,0.552458,1.588657,-0.443138,3.123266,-1.917137,-0.211531,-0.340179,1.143991,-0.107578,-0.601182,1.180806,-2.854532,3.39771,-0.045061,1.384478,-1.1486,-0.288671,2.46983,1.436985,-1.012015,-1.901671,0.301109,-0.408534,-0.408904,0.358084,0.296858,-1.618375,-0.239556,-0.987639,0.213349,-0.198291,0.152792,-0.700826,0.0
inconsolata,B,-2.304526,-0.882613,-0.084028,-1.173879,-0.028455,3.340661,-0.259265,-1.916583,0.016686,-0.479282,1.28241,-0.476696,-0.431017,1.781491,0.071137,-0.673153,-0.007884,2.138159,-1.473008,-0.518482,-1.243045,0.643406,0.299177,0.068569,-0.288755,-2.085584,2.285527,-1.261249,-0.201847,1.359149,1.60891,0.741377,-1.135986,1.826553,-1.31445,-1.115986,1.145908,-0.253809,-1.79696,-1.407505,-0.0
inconsolata,C,2.178233,-0.908434,1.13085,0.992685,0.889514,-2.147981,-0.26334,0.369909,-1.284905,0.14586,0.988967,-0.240753,-0.586629,0.236774,0.534361,-0.354965,1.388553,1.148942,-0.308704,0.460579,0.632631,-0.248425,0.399921,0.425707,0.802438,1.060803,1.013304,0.795042,0.189558,-0.269929,0.627674,-0.427477,0.951158,-1.061544,0.143615,-0.109413,-0.015497,0.084895,0.086433,-0.494397,-0.0
inconsolata,D,-0.993819,-2.948714,0.781206,-0.12142,2.122547,0.397626,-0.704262,0.877819,-0.607646,-0.913217,-0.267752,1.031749,0.408978,-0.053001,-1.108068,0.414001,0.039656,-0.371009,-0.345808,-0.4712,0.964597,-0.40097,-0.164396,0.602558,-0.344583,1.393487,0.158591,1.403828,0.674929,0.106397,-0.948321,0.234567,0.597096,-0.93909,1.336169,-0.18935,0.517006,-0.045901,0.023191,-0.071287,0.0
